mizar_ref,stop_id,nome
4742,1,Piazza IV Novembre - Passetto (Capolinea)
4830,2,"Viale della Vittoria, 42"
4757,3,"Viale della Vittoria, 30"
4832,4,"Viale della Vittoria, 22"
4808,5,Piazza XXIV MAGGIO
4770,6,Piazza CAVOUR
4809,7,Piazza ROMA
4797,8,Piazza Kennedy - Porto
4829,9,XXIX SETTEMBRE
4792,10,1^ MARCONI-MANDRACCHIO
4763,11,Via Marconi - Parcheggio Archi
4772,12,3^ MARCONI
4751,13,Stazione F.S. (direz.periferia)
4815,14,1^ G.BRUNO
4805,15,2^ G.BRUNO
4787,16,Piazza U.BASSI
4758,17,G.BRUNO (ENEL)
4764,18,Stazione F.S. (direz.centro)
4789,19,Via Marconi - Piazzale Italia
4777,20,Via  Marconi - Parcheggio Archi
4773,21,3^ MARCONI
4778,22,4^ MARCONI
4838,23,XXIX SETTEMBRE
4818,24,Piazza Kennedy - Porto
4802,25,Piazza ROMA
4743,26,Piazza CAVOUR
4827,27,Piazza XXIV Maggio
4759,28,"Viale della Vittoria, 21"
4779,29,Piazza Diaz
4836,30,"Viale della Vittoria, 47"
4788,31,Piazza CAVOUR
4780,33,1^ Via M. RESISTENZA
4833,34,2^ Via M. RESISTENZA
4831,35,P.le EUROPA
4793,36,Piazza Ugo Bassi
4813,37,PIAZZA D'ARMI
4806,38,2^ Via C. COLOMBO
4799,39,VIA PEZZOTTI
4823,40,Via Dell'Industria
4819,41,Via Dell' Industria - VV.UU.
4798,42,3^ VIA DELL'INDUSTRIA
4794,43,VIA BARILATTI
4790,44,2^ Via MAGGINI
4748,45,Via Maggini - Villa Igea
4807,46,VIA MAGGINI
4747,47,VIA PINOCCHIO
4752,48,VIA MADONNETTA
4786,49,Madonnetta  Capolinea
4753,50,VIA MADONNETTA (scuole)
4800,51,PINOCCHIO (BAR)
4814,52,1^ VIA MAGGINI
4820,53,Via Maggini - Villa Igea
4801,54,VIA MAGGINI (BYBLOS)
4744,55,4^ VIA MAGGINI
4795,56,5^ VIA MAGGINI
4821,57,1^ VIA C.COLOMBO
4749,58,2^ VIA C.COLOMBO
4765,59,Piazza U.Bassi centro
4824,60,P.le EUROPA
4750,61,1^ RESISTENZA
4834,62,2^ RESISTENZA
4781,63,VIA GIANNELLI
4825,64,VIA FREDIANI
4826,65,1^ VIA ASCOLI PICENO
4771,66,2^ VIA  ASCOLI PICENO
4791,67,3^ VIA  ASCOLI PICENO
4835,68,Via A. Piceno
4782,69,1^ VIA POSATORA
4822,70,2^ VIA POSATORA
4754,71,VIA GROTTE
4762,72,VIA M.VETTORE
4746,73,VIA M.VETTORE
4796,74,POSATORA CAPOLINEA
4755,75,VIA M.PENNINO
4785,76,VIA BRODOLINI
4784,77,Via A. Piceno
4776,78,VIA ASCOLI PICENO
4828,79,VIA ASCOLI PICENO
4810,80,VIA ASCOLI PICENO
4769,81,Piazza UGO BASSI
4766,82,1^ TORRESI
