route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
"1/3","ATMA","1/3","LINEA 1-3  P.ZZA IV NOVEMBRE - STAZIONE FS - POSATORA","3","https://www.atmaancona.it","FFFF00","000000"
"1/4","ATMA","1/4","LINEA 1-4  P.ZZA IV NOVEMBRE - STAZIONE FS - TAVERNELLE","3","https://www.atmaancona.it","FF9900","000000"
"10","ATMA","10","LINEA 10  P.ZZA UGO BASSI - CANTIERE","3","https://www.atmaancona.it","CCCCCC","000000"
"11","ATMA","11","LINEA 11  P.ZZA CAVOUR - DUOMO - P.ZZA SAN GALLO - P.ZZA CAVOUR","3","https://www.atmaancona.it","FF3333","FFFFFF"
"12","ATMA","12","LINEA 12  STAZIONE - TERMINAL BIGLIETTERIE - ZIPA","3","https://www.atmaancona.it","0033FF","FFFFFF"
"2","ATMA","2","LINEA 2   P.ZZA CAVOUR - GALLERIA - P.ZZA UGO BASSI - PINOCCHIO","3","https://www.atmaancona.it","FF3333","FFFFFF"
"2/6","ATMA","2/6","LINEA 2-6  P.ZZA CAVOUR - BORGO RODI - STAZIONE FS - P.ZZA UGO BASSI - PINOCCHIO","3","https://www.atmaancona.it","66FFFF","000000"
"21","ATMA","21","LINEA 21  ANCONA - GHETTARELLO - SAPPANICO - GALLIGNANO - MONTESICURO","3","https://www.atmaancona.it","109310","FFFFFF"
"22","ATMA","22","LINEA 22  ANCONA - PINOCCHIO - STRADA VECCHIA O VARIANTE - BRECCE BIANCHE","3","https://www.atmaancona.it","0033FF","FFFFFF"
"24","ATMA","24","LINEA 24  ANCONA - PINOCCHIO - Q3 - BRECCE BIANCHE - BARACCOLA OVEST","3","https://www.atmaancona.it","FF9900","000000"
"3","ATMA","3","LINEA 3  P.ZZA CAVOUR - GALLERIA - P.ZZA UGO BASSI - POSATORA","3","https://www.atmaancona.it","FFFF00","000000"
"30","ATMA","30","LINEA 30  P.ZZA UGO BASSI - STAZIONE FS - OSPEDALE REGIONALE","3","https://www.atmaancona.it","109310","FFFFFF"
"31","ATMA","31","LINEA 31  P.ZZA UGO BASSI - POSATORA - OSPEDALE REGIONALE","3","https://www.atmaancona.it","FF9900","000000"
"33","ATMA","33","LINEA 33  ANCONA - CANDIA - BOLIGNANO","3","https://www.atmaancona.it","FF3333","FFFFFF"
"34","ATMA","34","LINEA 34  P.ZZA UGO BASSI - VIA FANO - VIA GIGLI - VIA LAMATICCI - P.ZZA UGO BASSI","3","https://www.atmaancona.it","66FFFF","000000"
"35","ATMA","35","LINEA 35  NAVETTA STAZIONE DI TORRETTE - OSPEDALE REGIONALE","3","https://www.atmaancona.it","FF3333","FFFFFF"
"37","ATMA","37","LINEA 37  STAZIONE CENTRALE - TORRETTE - CARCERE BARCAGLIONE","3","https://www.atmaancona.it","66FFFF","000000"
"4/","ATMA","4/","NAVETTA VELOCE STAZIONE FS - P.ZZA KENNEDY - P.ZZA CAVOUR","3","https://www.atmaancona.it","FF3333","FFFFFF"
"40","ATMA","40","LINEA 40  CIMITERO TAVERNELLE - SERVIZIO INTERNO","3","https://www.atmaancona.it","CCCCCC","000000"
"41","ATMA","41","LINEA 41  STAZIONE FS - P.ZZA UGO BASSI - GERIATRICO - PALOMBARE - STAZIONE FS","3","https://www.atmaancona.it","FF9900","000000"
"42","ATMA","42","LINEA 42  P.ZZA CAVOUR - VIA G. BRUNO - P.ZZA UGO BASSI - VIA GIOBERTI O VILLA ROMANA","3","https://www.atmaancona.it","109310","FFFFFF"
"43","ATMA","43","LINEA 43  ANCONA - TAVERNELLE - Q2A - CAMERANENSE - VARANO O STADIO","3","https://www.atmaancona.it","109310","FFFFFF"
"44","ATMA","44","LINEA 44  ANCONA - TAVERNELLE - Q2A - PASSO VARANO - BARACCOLA SUD","3","https://www.atmaancona.it","FFFF00","000000"
"46","ATMA","46","LINEA 46  NAVETTA QUARTIERI NUOVI - CENTRO","3","https://www.atmaancona.it","0033FF","FFFFFF"
"46/","ATMA","46/","MONTEDAGO LINK: VARANO F.S. - UNIVERSITÀ INGEGNERIA","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"6","ATMA","6","LINEA 6  P.ZZA CAVOUR - BORGO RODI - REGIONE MARCHE - STAZIONE FS","3","https://www.atmaancona.it","109310","FFFFFF"
"65","ATMA","65","UNIVERSITY LINK: INGEGNERIA - MEDICINA - STAZIONE FS - MEDICINA - VARANO FS - INGEGNERIA","3","https://www.atmaancona.it","C80064","FFFFFF"
"6S-FS","ATMA","6S-FS","STAZIONE F.S. - V.DE GASPERI - V.TIZIANO - V.GERVASONI (QUESTURA)","3","https://www.atmaancona.it","FF3333","FFFFFF"
"7","ATMA","7","LINEA 7  P.ZZA CAVOUR - VALLE MIANO - P.ZZA CAVOUR","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"8","ATMA","8","LINEA 8  P.ZZA CAVOUR - CIRCONVALLAZIONE - P.ZZA CAVOUR","3","https://www.atmaancona.it","FF9900","000000"
"89","ATMA","89","LINEA 89  P.ZZA CAVOUR - CIRCONVALLAZIONE - PIETRALACROCE - P.ZZA CAVOUR","3","https://www.atmaancona.it","66FFFF","000000"
"91","ATMA","91","LINEA 91  P.ZZA STAMIRA - VIA ISONZO - PIETRALACROCE","3","https://www.atmaancona.it","FFFF00","000000"
"92","ATMA","92","LINEA 92  P.ZZA STAMIRA - VIALE DELLA VITTORIA - PIETRALACROCE","3","https://www.atmaancona.it","FF3333","FFFFFF"
"93","ATMA","93","LINEA 93  ANCONA - PIETRALACROCE - MONTACUTO - POGGIO - MASSIGNANO","3","https://www.atmaancona.it","109310","FFFFFF"
"A","ATMA","A","LINEA A FALCONARA - COLLEMARINO - ANCONA","3","https://www.atmaancona.it","FFFF00","000000"
"B","ATMA","B","M.MARCIANO-MARINA-FALCONARA-C.MARINO- ANCONA","3","https://www.atmaancona.it","FF9900","000000"
"BR1","ATMA","BR1","ARCEVIA-CONCE-COLLE APRICO-GRANELLI-M.D'ORSA-FORNACE-F.BARLENGA-ARCEVIA","3","https://www.atmaancona.it","FF3333","FFFFFF"
"BR2","ATMA","BR2","ARCEVIA - ZEPPALE - AVACELLI - CASTIGLIONI - OSTERIA - FONTI BARLENGA - ARCEVIA","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"BR3","ATMA","BR3","ARCEVIA-MONTALE-OSTERIA-BARBARA-CORINALDO-S.LORENZO-C.LEONE-PALAZZO-ARCEVIA","3","https://www.atmaancona.it","66FFFF","000000"
"BS1","ATMA","BS1","LINEE SUD BUCCI SENIGALLIA","3","https://www.atmaancona.it","333300","FFFFFF"
"BS2","ATMA","BS2","LINEE VALLE DEL MISA  BUCCI SENIGALLIA","3","https://www.atmaancona.it","0033FF","FFFFFF"
"BS3","ATMA","BS3","LINEE VALLE DEL NEVOLA  BUCCI SENIGALLIA","3","https://www.atmaancona.it","109310","FFFFFF"
"BS4","ATMA","BS4","LINEE  BUCCI JESI   SENIGALLIA","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"BS5","ATMA","BS5","SENIGALLIA - FANO SNAM","3","https://www.atmaancona.it","000000","FFFFFF"
"BUS10","ATMA","BUS10","SENIGALLIA CAP. - LUNGOMARE DI LEVANTE - MARZOCCHETTA - MONTIGNANO - CASTELLARO","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"BUS3","ATMA","BUS3","SENIGALLIA F.S.-CYTYPER-CAMPUS-V.PINI-COOP-SS.16- CIARNIN (CHIESA)","3","https://www.atmaancona.it","FFFF00","000000"
"BUS5","ATMA","BUS5","CESANO MARE - LUNGOMARE MAMELI - DARSENA - SENIGALLIA (STAZIONE F.S.)","3","https://www.atmaancona.it","A46340","000000"
"BUS6","ATMA","BUS6","CESANELLA-V.MANTEGNA-V.MATTEI-V.MOLINELLO-OSPEDALE-PORTICI-STAZIONE F.S.","3","https://www.atmaancona.it","66FFFF","000000"
"BUS7","ATMA","BUS7","SENIGALLIA - BORGO CORTELLONE - CIMITERO - BORGO CATENA - BORGO RIBECA - SENIGALLIA","3","https://www.atmaancona.it","FF9900","000000"
"BUS8","ATMA","BUS8","SENIGALLIA - CANNELLA - B. CATENA - B. RIBECA - SENIGALLIA F.S.","3","https://www.atmaancona.it","000000","FFFFFF"
"BUS87","ATMA","BUS87","SENIGALLIA F.S. - VIA ROSSINI -B.CATENA - CANNELLA - VALLONE - STR. MISA -SENIGALLIA F.S.","3","https://www.atmaancona.it","109310","FFFFFF"
"BUSS2","ATMA","BUSS2","SENIGALLIA F.S.-B.RIBECA-CANNELLA-RONCITELLI-SCAPEZZANO- SENIGALLIA F.S","3","https://www.atmaancona.it","0033FF","FFFFFF"
"C","ATMA","C","CHIARAVALLE - COLLEMARINO - ANCONA","3","https://www.atmaancona.it","FF3333","FFFFFF"
"C.D.","ATMA","C.D.","LINEA CD  P.ZZA CAVOUR - BORGO RODI - PANORAMICA - P.ZZA CAVOUR","3","https://www.atmaancona.it","FF3333","FFFFFF"
"C.S.","ATMA","C.S.","LINEA CS  P.ZZA CAVOUR - PANORAMICA - BORGO RODI - P.ZZA CAVOUR","3","https://www.atmaancona.it","FFFF00","000000"
"CIRCA","ATMA","CIRCA","CIRCOLARE A SERVIZIO URBANO CASTELFIDARDO","3","https://www.atmaancona.it","F4F411","000000"
"CIRCB","ATMA","CIRCB","CIRCOLARE B SERVIZIO URBANO CASTELFIDARDO","3","https://www.atmaancona.it","139013","FEFEFE"
"CR1","ATMA","CR1","OSTERIA-SERRA DE CONTI-MONTECAROTTO-P.S. MARCELLO-CASTELPLANIO-MOIE-JESI-ANCONA","3","https://www.atmaancona.it","66FFFF","000000"
"CR2","ATMA","CR2","JESI - SAN MARCELLO - BELVEDERE - FORNACI - OSTRA","3","https://www.atmaancona.it","FF9900","000000"
"CR3","ATMA","CR3","JESI - CHIARAVALLE - ROCCA PRIORA - FALCONARA - TORRETTE - ANCONA","3","https://www.atmaancona.it","FF3333","FFFFFF"
"CR4","ATMA","CR4","JESI - MACERATA","3","https://www.atmaancona.it","66FFFF","000000"
"CT1","ATMA","CT1","FABRIANO-COLLEGIGLIONI-GENGA-PIANELLO-TRINGUELLI-NEBBIANO-FABRIANO","3","https://www.atmaancona.it","FFFF00","000000"
"CT2","ATMA","CT2","LORETO - LORETO STAZIONE","3","https://www.atmaancona.it","000000","FFFFFF"
"CT3","ATMA","CT3","LORETO PIAZZA BASILI - CIMITERO - LORETO PIAZZA BASILI","3","https://www.atmaancona.it","109310","FFFFFF"
"CT4","ATMA","CT4","LORETO PIAZZA BASILI - VIA MARCONI - VIA MACCARI - LORETO","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"CT5","ATMA","CT5","LORETO - VIA MATTEOTTI - PIAZZA BASILI - LORETO","3","https://www.atmaancona.it","0033FF","FFFFFF"
"D","ATMA","D","OSTRA - M.MARCIANO - ANCONA","3","https://www.atmaancona.it","66FFFF","000000"
"E","ATMA","E","CHIARAVALLE.M.MARCIANO-SENIGALLIA","3","https://www.atmaancona.it","CCCCCC","000000"
"F","ATMA","F","CAMERATA P. - CASTELFERRETTI","3","https://www.atmaancona.it","66FFFF","000000"
"FA1","ATMA","FA1","CASTELFIDARDO - SAN SABINO - OSIMO","3","https://www.atmaancona.it","66FFFF","000000"
"H","ATMA","H","CHIARAVALLE - M. D'ALBA - SENIGALLIA","3","https://www.atmaancona.it","000000","FFFFFF"
"I","ATMA","I","JESI S M NUOVA  POLVERIGI AGUGLIANO ANCONA","3","https://www.atmaancona.it","FF00FF","FFFFFF"
"J","ATMA","J","CHIARAVALLE - FALCONARA - TORRETTE- ANCONA - BARACCOLA","3","https://www.atmaancona.it","109310","FFFFFF"
"JE1","ATMA","JE1","LINEA 1  STAZIONE - AUTOSTAZIONE - CENTRO - VILLA SERENA - PANTIERE - CENTRO - V.LE VITTORIA - STAZIONE","3","https://www.atmaancona.it","109310","FFFFFF"
