route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363321","Posatora","0","1022","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363322","Posatora","0","1007","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363323","Posatora","0","1022","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363324","Posatora","0","1016","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363325","Posatora","0","1054","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363326","Posatora","0","1048","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363327","Posatora","0","1079","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363328","Posatora","0","1083","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363329","Posatora","0","1058","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363330","Posatora","0","1058","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_363331","Posatora","0","1023","3796009905","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370640","Piazza IV Novembre - Passetto","1","1008","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370641","Piazza IV Novembre - Passetto","1","1022","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370642","Piazza IV Novembre - Passetto","1","1007","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370643","Piazza IV Novembre - Passetto","1","1040","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370644","Piazza IV Novembre - Passetto","1","1022","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370645","Piazza IV Novembre - Passetto","1","1003","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370646","Piazza IV Novembre - Passetto","1","1048","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370647","Piazza IV Novembre - Passetto","1","1079","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370648","Piazza IV Novembre - Passetto","1","1083","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370649","Piazza IV Novembre - Passetto","1","1048","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370650","Piazza IV Novembre - Passetto","1","1083","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370651","Piazza IV Novembre - Passetto","1","1058","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370652","Piazza IV Novembre - Passetto","1","1058","1205412851","2","2"
"1/3","623_CodUdp:D1333","623_CodUdp:D1333_370653","Piazza IV Novembre - Passetto","1","1023","1205412851","2","2"
"1/4","623_CodUdp:D1318","623_CodUdp:D1318_372688","Tavernelle","0","1302","2570564479","2","2"
"1/4","623_CodUdp:D1318","623_CodUdp:D1318_372934","Piazza IV Novembre - Passetto","1","1301","1123669142","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_362312","Piazza IV Novembre - Passetto","1","1007","374846170","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_363991","Tavernelle","0","9000","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_363992","Tavernelle","0","9001","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_365308","Liceo Galilei","0","9005","116161058","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_365309","Liceo Galilei","0","1044","116161058","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_365310","IIS Podesti","0","1071","2090101183","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368173","Piazza IV Novembre - Passetto","1","1005","2026829873","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368175","Piazza Ugo Bassi","1","1028","1917166561","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368278","Piazza Ugo Bassi","0","1003","2543685546","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368282","Piazza Cavour","0","1004","1211932305","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368283","Piazza Cavour","0","1005","1211932305","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368284","Piazza Cavour","0","1084","1211932305","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_368981","Stazione F.S.","1","1056","894152748","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369296","Tavernelle","0","9002","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369297","Tavernelle","0","9003","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369298","Tavernelle","0","9006","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369299","Tavernelle","0","1006","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369300","Tavernelle","0","1071","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369511","Tavernelle","0","9005","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369512","Tavernelle","0","9008","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369513","Tavernelle","0","9000","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369514","Tavernelle","0","9001","2570564479","2","2"
"1/4","623_CodUdp:D1333","623_CodUdp:D1333_369515","Tavernelle","0","9002","2570564479","2","2"
